yourlist:M201909045C475328CEF75220C360D524E9D456CE3FF4D7X	Entry	Entry name	Protein names	Gene names	Organism	Taxonomic lineage (ORDER)
WP_045605232.1	A0A0F2E0R1	A0A0F2E0R1_STRMT	Cell wall surface anchor family protein	TZ93_00442	Streptococcus mitis	Lactobacillales
WP_033685629.1	A0A081S9Y7	A0A081S9Y7_STRMT	LPXTG-motif cell wall anchor domain protein	SK271_1806	Streptococcus mitis	Lactobacillales
WP_045597002.1	A0A0F2DT26	A0A0F2DT26_STRMT	GRAM_POS_ANCHORING domain-containing protein	TZ91_00366	Streptococcus mitis	Lactobacillales
WP_006703850.1	D0BNN9	D0BNN9_9LACT	YSIRK family Gram-positive signal peptide	HMPREF0446_01574	Granulicatella elegans ATCC 700633	Lactobacillales
WP_045612112.1	A0A0F2DDC0	A0A0F2DDC0_STRMT	Cell wall surface anchor family protein	TZ90_01280	Streptococcus mitis	Lactobacillales
WP_060627736.1	A0A0M4JLV4	A0A0M4JLV4_STRMT	YSIRK signal domain/LPXTG anchor domain surface protein	RN80_04310	Streptococcus mitis	Lactobacillales
WP_023947902.1	V8I9R7	V8I9R7_STRMT	Gram positive anchor (Fragment)	U758_07495	Streptococcus mitis 27/7	Lactobacillales
WP_008089415.1	G5K3L7	G5K3L7_9STRE	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	STRIC_1387	Streptococcus ictaluri 707-05	Lactobacillales
WP_000647560.1	E9FQA3	E9FQA3_9STRE	Uncharacterized protein	HMPREF0851_01985	Streptococcus sp. M334	Lactobacillales
WP_009754966.1	F9HHP3	F9HHP3_9STRE	Uncharacterized protein	HMPREF9182_0587	Streptococcus sp. oral taxon 056 str. F0418	Lactobacillales
WP_032072671.1	Q9X9M1	Q9X9M1_STRTR	Cytosine-specific methyltransferase		Streptococcus thermophilus	Lactobacillales
WP_015062902.1	I6TDI5	I6TDI5_LACLC	Type II methylase	pAF22_p21	Lactococcus lactis subsp. cremoris (Streptococcus cremoris)	Lactobacillales
WP_061421708.1	A0A139Q4I0	A0A139Q4I0_STROR	Cytosine-specific methyltransferase (EC 2.1.1.37)	SORDD30_01699	Streptococcus oralis	Lactobacillales
WP_003014345.1	I2NT68	I2NT68_STRPA	Cytosine-specific methyltransferase (EC 2.1.1.37)	HMPREF9971_0796	Streptococcus parasanguinis F0449	Lactobacillales
WP_070888775.1	A0A1S1H2E8	A0A1S1H2E8_9STRE	Cytosine-specific methyltransferase (EC 2.1.1.37)	HMPREF3237_02925	Streptococcus sp. HMSC34B10	Lactobacillales
WP_006146181.1	E8KD57	E8KD57_9STRE	Cytosine-specific methyltransferase (EC 2.1.1.37)	dcm HMPREF9180_1412	Streptococcus peroris ATCC 700780	Lactobacillales
WP_047780508.1	A0A0G3CIF9	A0A0G3CIF9_9GAMM	Methyltransferase (EC 2.1.1.-)	QQ39_06440	Pragia fontium	Enterobacterales
WP_076244119.1	A0A1R1CXX3	A0A1R1CXX3_9BACL	Methyltransferase (EC 2.1.1.-)	BK132_14795	Paenibacillus sp. FSL H8-0259	Bacillales
WP_061087696.1	A0A110A1B5	A0A110A1B5_STRMT	Serine protease (EC 3.4.21.-)	AXK38_02785	Streptococcus mitis	Lactobacillales
WP_033679826.1	A0A081Q4X4	A0A081Q4X4_STRMT	Serine protease (EC 3.4.21.-)	SK667_0582	Streptococcus mitis	Lactobacillales
WP_061759282.1	A0A0Y3KW22	A0A0Y3KW22_STREE	Serine protease (EC 3.4.21.-)	nanA_3 ERS367364_00786	Streptococcus pneumoniae	Lactobacillales
WP_050252800.1	A0A0U0KEW3	A0A0U0KEW3_STREE	Serine protease (EC 3.4.21.-)	lytA_1 ERS020334_00712	Streptococcus pneumoniae	Lactobacillales
WP_012057715.1	A6LN55	DNLJ_THEM4	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA Tmel_1511	Thermosipho melanesiensis (strain DSM 12029 / CIP 104789 / BI429)	Thermotogales
WP_008801852.1	E5BH10	E5BH10_9FUSO	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA FSBG_01280	Fusobacterium gonidiaformans 3-1-5R	Fusobacteriales
WP_060793896.1	A0A133NA58	A0A133NA58_9FUSO	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA HMPREF3206_01626	Fusobacterium equinum	Fusobacteriales
WP_035933735.1	A0A2X3MFB0	A0A2X3MFB0_9FUSO	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA EO219_05255 NCTC13726_02886	Fusobacterium necrophorum subsp. necrophorum	Fusobacteriales
WP_035900358.1	A0A017H649	A0A017H649_9FUSO	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA FNF_03356	Fusobacterium necrophorum subsp. funduliforme B35	Fusobacteriales
WP_035900358.1	A0A0E2V2S0	A0A0E2V2S0_9FUSO	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA FUSO8_06690	Fusobacterium necrophorum DJ-2	Fusobacteriales
WP_005964008.1	J4VL54	J4VL54_9FUSO	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA HMPREF1127_0187	Fusobacterium necrophorum subsp. funduliforme Fnf 1007	Fusobacteriales
WP_006729960.1	C8PAM5	C8PAM5_9LACO	DNA topoisomerase 4 subunit A (EC 5.6.2.3) (Topoisomerase IV subunit A)	parC HMPREF0520_0145	Lactobacillus iners DSM 13335	Lactobacillales
WP_008460524.1	K0NV51	K0NV51_9LACO	DNA topoisomerase 4 subunit A (EC 5.6.2.3) (Topoisomerase IV subunit A)	parC FC20_GL001111	Lactobacillus equicursoris DSM 19284 = JCM 14600 = CIP 110162	Lactobacillales
WP_009558446.1	K0NUR3	K0NUR3_9LACO	DNA topoisomerase 4 subunit A (EC 5.6.2.3) (Topoisomerase IV subunit A)	parC BN146_08635	Lactobacillus equicursoris 66c	Lactobacillales
WP_035811563.1	A0A078M750	A0A078M750_9STAP	DNA topoisomerase 4 subunit A (EC 5.6.2.3) (Topoisomerase IV subunit A)	parC BN1048_00993	Jeotgalicoccus saudimassiliensis	Bacillales
WP_037587938.1	A0A033V433	A0A033V433_STAAU	DNA topoisomerase 4 subunit A (EC 5.6.2.3) (Topoisomerase IV subunit A)	parC V070_00410	Staphylococcus aureus C0673	Bacillales
WP_023041845.1	U7TBI4	U7TBI4_FUSNU	DNA gyrase subunit B (EC 5.6.2.3)	gyrB HMPREF1538_00866	Fusobacterium nucleatum CTI-1	Fusobacteriales
WP_008694818.1	F7L3J3	F7L3J3_FUSNU	DNA gyrase subunit B (EC 5.6.2.3)	gyrB HMPREF0401_02416	Fusobacterium nucleatum subsp. animalis 11_3_2	Fusobacteriales
WP_005910314.1	A0A140PW83	A0A140PW83_FUSNU	DNA gyrase subunit B (EC 5.6.2.3)	gyrB FSDG_02231	Fusobacterium nucleatum subsp. animalis 7_1	Fusobacteriales
WP_005910314.1	D6BG00	D6BG00_FUSNU	DNA gyrase subunit B (EC 5.6.2.3)	gyrB PSAG_01132	Fusobacterium nucleatum subsp. animalis D11	Fusobacteriales
WP_005910314.1	H1HGH3	H1HGH3_FUSNU	DNA gyrase subunit B (EC 5.6.2.3)	gyrB HMPREF9942_01574	Fusobacterium nucleatum subsp. animalis F0419	Fusobacteriales
WP_005910314.1	X8HSW2	X8HSW2_9FUSO	DNA gyrase subunit B (EC 5.6.2.3)	gyrB HMPREF1498_2205	Fusobacterium sp. CM1	Fusobacteriales
WP_023038650.1	U7SZZ0	U7SZZ0_FUSNU	DNA gyrase subunit B (EC 5.6.2.3)	gyrB HMPREF1766_00749	Fusobacterium nucleatum CTI-5	Fusobacteriales
WP_011016061.1	Q8RHB1	Q8RHB1_FUSNN	DNA gyrase subunit B (EC 5.6.2.3)	gyrB FN2126	Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / CIP 101130 / JCM 8532 / LMG 13131)	Fusobacteriales
WP_060675540.1	A0A0M4RIN1	A0A0M4RIN1_FUSNU	DNA gyrase subunit B (EC 5.6.2.3)	gyrB RN98_00480	Fusobacterium nucleatum subsp. animalis	Fusobacteriales
WP_020788883.1	C7XSN3	C7XSN3_FUSNV	DNA gyrase subunit B (EC 5.6.2.3)	gyrB HMPREF0946_01859	Fusobacterium nucleatum subsp. vincentii 3_1_36A2	Fusobacteriales
WP_032841092.1	W3YPP9	W3YPP9_9FUSO	DNA gyrase subunit B (EC 5.6.2.3)	gyrB HMPREF1497_0943	Fusobacterium sp. CM21	Fusobacteriales
WP_070957377.1	A0A1S1MBY0	A0A1S1MBY0_FUSNU	DNA gyrase subunit B (EC 5.6.2.3)	gyrB BKN39_06455	Fusobacterium nucleatum	Fusobacteriales
WP_005886034.1	A0A414PR76	A0A414PR76_FUSMR	DNA gyrase subunit B (EC 5.6.2.3)	gyrB DW663_09500	Fusobacterium mortiferum	Fusobacteriales
WP_005886034.1	C3WFJ2	C3WFJ2_FUSMR	DNA gyrase subunit B (EC 5.6.2.3)	gyrB FMAG_02210	Fusobacterium mortiferum ATCC 9817	Fusobacteriales
WP_023926704.1	V8CC72	V8CC72_9HELI	DNA gyrase subunit B (EC 5.6.2.3)	gyrB HMPREF2086_00034	Helicobacter macacae MIT 99-5501	Campylobacterales
WP_008106125.1	A0P511	A0P511_9PROT	DNA gyrase subunit B (EC 5.6.2.3)	gyrB MB2181_01070	Methylophilales bacterium HTCC2181	Nitrosomonadales
WP_027894579.1	A0A2S0M9G9	A0A2S0M9G9_MEGEL	Uncharacterized protein	C6Y28_10855	Megasphaera elsdenii	Veillonellales
WP_007070213.1	C9LNZ4	C9LNZ4_9FIRM	SLH domain-containing protein	GCWU000321_01268	Dialister invisus DSM 15470	Veillonellales
WP_038124965.1	X8H3D1	X8H3D1_9FIRM	YadA-like C-terminal domain protein	HMPREF1504_0086	Veillonella sp. ICM51a	Veillonellales
WP_005379128.1	E1L918	E1L918_9FIRM	SLH domain-containing protein	HMPREF9684_0865	Veillonella atypica ACS-134-V-Col7a	Veillonellales
WP_009661330.1	J5AGW9	J5AGW9_9FIRM	YadA-like C-terminal domain protein	HMPREF1151_0757	Veillonella sp. ACP1	Veillonellales
WP_016476214.1	S2ZQU3	S2ZQU3_9FIRM	SLH domain-containing protein	HMPREF1477_01228	Veillonella sp. HPA0037	Veillonellales
WP_008601782.1	D6KPC4	D6KPC4_9FIRM	Putative S-layer-like domain protein	HMPREF0874_00808	Veillonella sp. 6_1_27	Veillonellales
WP_008714483.1	D6KJ12	D6KJ12_9FIRM	Putative adhesin	HMPREF0873_00765	Veillonella sp. 3_1_44	Veillonellales
WP_038117759.1	W3Y0Q9	W3Y0Q9_9FIRM	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA HMPREF1521_1623	Veillonella sp. AS16	Veillonellales
WP_048514496.1	A0A0J6ZN09	A0A0J6ZN09_9FIRM	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA AB840_08955	Megasphaera cerevisiae DSM 20462	Veillonellales
YP_009283043.1	A0A172JI48	A0A172JI48_9CAUD	SbcC ATPase	AR9_g139	Bacillus phage AR9	Caudovirales
WP_005398489.1	H3NNV0	H3NNV0_9FIRM	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA HMPREF9709_01011	Helcococcus kunzii ATCC 51366	Tissierellales
WP_075057871.1	A0A0K1W0T8	A0A0K1W0T8_9MOLU	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA SLITO_v1c01050	Spiroplasma litorale	Entomoplasmatales
WP_074758529.1	A0A1H9WR72	A0A1H9WR72_BUTFI	Uncharacterized protein	SAMN04487884_13326	Butyrivibrio fibrisolvens	Clostridiales
WP_006574707.1	A6P164	A6P164_9FIRM	Uncharacterized protein	BACCAP_04231	Pseudoflavonifractor capillosus ATCC 29799	Clostridiales
WP_074463253.1	A0A1G5GF39	A0A1G5GF39_9FIRM	Uncharacterized protein	SAMN02910451_02855	Butyrivibrio hungatei	Clostridiales
WP_058593657.1	A0A147EP72	A0A147EP72_9MICO	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.3)	NS354_05940	Leucobacter chromiiresistens	Micrococcales
WP_010157136.1	A0A1H0ZWQ4	A0A1H0ZWQ4_9MICO	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.3)	SAMN04488565_2135	Leucobacter chromiiresistens	Micrococcales
WP_059060786.1	A0A0W7W8Y1	A0A0W7W8Y1_9MICO	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.3)	AUL38_01385	Leucobacter sp. G161	Micrococcales
WP_046455084.1	A0A0M2LSS1	A0A0M2LSS1_9MICO	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.3)	XM48_07020	Leucobacter sp. Ag1	Micrococcales
WP_072887078.1	A0A1M5CFN4	A0A1M5CFN4_9BACI	Protein RecA (Recombinase A)	recA SAMN05216225_1001214	Ornithinibacillus halophilus	Bacillales
WP_005971491.1	D4CT44	D4CT44_9FUSO	Protein RecA (Recombinase A)	recA FUSPEROL_00556	Fusobacterium periodonticum ATCC 33693	Fusobacteriales
WP_009423401.1	G6C2F4	G6C2F4_9FUSO	Protein RecA (Recombinase A)	recA HMPREF9093_00741	Fusobacterium sp. oral taxon 370 str. F0437	Fusobacteriales
WP_008820993.1	D6LH29	D6LH29_9FUSO	Protein RecA (Recombinase A)	recA HMPREF0400_01029	Fusobacterium periodonticum 1_1_41FAA	Fusobacteriales
WP_011205880.1	E4QS40	E4QS40_MYCH1	Protein RecA (Recombinase A)	recA MHP168_039	Mycoplasma hyopneumoniae (strain 168)	Mycoplasmatales
WP_011205880.1	Q4A8X3	RECA_MYCH7	Protein RecA (Recombinase A)	recA MHP7448_0039	Mycoplasma hyopneumoniae (strain 7448)	Mycoplasmatales
WP_011205880.1	Q602A9	RECA_MYCH2	Protein RecA (Recombinase A)	recA mhp041	Mycoplasma hyopneumoniae (strain 232)	Mycoplasmatales
WP_011205880.1	S5FYC5	S5FYC5_MYCHY	Protein RecA (Recombinase A)	recA MHL_0193	Mycoplasma hyopneumoniae 7422	Mycoplasmatales
WP_044284570.1	Q4AAV6	RECA_MYCHJ	Protein RecA (Recombinase A)	recA MHJ_0035	Mycoplasma hyopneumoniae (strain J / ATCC 25934 / NCTC 10110)	Mycoplasmatales
WP_005969583.1	A0A095WJE6	A0A095WJE6_9FUSO	Protein RecA (Recombinase A)	recA FSAG_001526	Fusobacterium periodonticum 2_1_31	Fusobacteriales
WP_005969583.1	A0A2D3P1E6	A0A2D3P1E6_9FUSO	Protein RecA (Recombinase A)	recA CTM64_06170	Fusobacterium periodonticum	Fusobacteriales
WP_005969583.1	K1HAD4	K1HAD4_9FUSO	Protein RecA (Recombinase A)	recA FPOG_01187	Fusobacterium periodonticum D10	Fusobacteriales
WP_032837553.1	X8IBU6	X8IBU6_9FUSO	Protein RecA (Recombinase A)	recA HMPREF1498_0515	Fusobacterium sp. CM1	Fusobacteriales
WP_008795300.1	U7SE95	U7SE95_FUSNU	Protein RecA (Recombinase A)	recA HMPREF1766_02358	Fusobacterium nucleatum CTI-5	Fusobacteriales
WP_002902528.1	F0FRP7	F0FRP7_STRSA	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HMPREF9392_0680	Streptococcus sanguinis SK678	Lactobacillales
WP_002902528.1	F2C758	F2C758_STRSA	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HMPREF9386_1256	Streptococcus sanguinis SK330	Lactobacillales
WP_002902528.1	F2CEE4	F2CEE4_STRSA	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HMPREF9391_1321	Streptococcus sanguinis SK408	Lactobacillales
WP_002907126.1	F0I750	F0I750_STRSA	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HMPREF9382_1252	Streptococcus sanguinis SK115	Lactobacillales
WP_002925692.1	A0A2X3UYJ5	A0A2X3UYJ5_STRSA	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG NCTC11085_00554	Streptococcus sanguinis	Lactobacillales
WP_009659624.1	J4J120	J4J120_9STRE	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HMPREF1150_1587	Streptococcus sp. AS14	Lactobacillales
WP_061589255.1	A0A2X3YR69	A0A2X3YR69_STRSA	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG NCTC11086_01818	Streptococcus sanguinis	Lactobacillales
WP_011836583.1	A3CLD8	A3CLD8_STRSV	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG SSA_0549	Streptococcus sanguinis (strain SK36)	Lactobacillales
WP_037607712.1	A0A1E9GYS6	A0A1E9GYS6_9STRE	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HMPREF2759_02585	Streptococcus sp. HMSC061D01	Lactobacillales
WP_002922069.1	F3UCM4	F3UCM4_STRSA	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HMPREF9393_1292	Streptococcus sanguinis SK1056	Lactobacillales
WP_004188054.1	F2BUE7	F2BUE7_STRSA	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HMPREF9394_1925	Streptococcus sanguinis SK1057	Lactobacillales
WP_009443282.1	F9HGZ7	F9HGZ7_9STRE	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HMPREF9182_1717	Streptococcus sp. oral taxon 056 str. F0418	Lactobacillales
WP_067193303.1	A0A139NEW8	A0A139NEW8_9STRE	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG STRDD10_00803	Streptococcus sp. DD10	Lactobacillales
WP_002910459.1	F0IPJ8	F0IPJ8_STRSA	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HMPREF9383_1924	Streptococcus sanguinis SK150	Lactobacillales
WP_048800643.1	A0A380L4N9	A0A380L4N9_9STRE	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	dut NCTC11063_01701	Streptococcus milleri	Lactobacillales
WP_009731797.1	A0A1F0Y0B0	A0A1F0Y0B0_9STRE	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	HMPREF2926_10340	Streptococcus sp. HMSC078D09	Lactobacillales
WP_009731797.1	K8MPD5	K8MPD5_9STRE	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	HMPREF9186_01090	Streptococcus sp. F0442	Lactobacillales
WP_070449517.1	A0A1F0B5R3	A0A1F0B5R3_9STRE	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	HMPREF2686_04945	Streptococcus sp. HMSC057G03	Lactobacillales
WP_015605862.1	N0C6L5	N0C6L5_STRCR	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	dut I872_09440	Streptococcus cristatus AS 1.3089	Lactobacillales
WP_049488648.1	A0A2I1TQV3	A0A2I1TQV3_STRPA	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	CYK20_10105	Streptococcus parasanguinis	Lactobacillales
WP_067193059.1	A0A139NGF5	A0A139NGF5_9STRE	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	STRDD10_00631	Streptococcus sp. DD10	Lactobacillales
WP_002917791.1	F2CGR3	F2CGR3_STRSA	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	dut HMPREF9391_2058	Streptococcus sanguinis SK408	Lactobacillales
WP_009443275.1	F9HFP8	F9HFP8_9STRE	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	dut HMPREF9182_1504	Streptococcus sp. oral taxon 056 str. F0418	Lactobacillales
WP_045760229.1	A0A0F3H6S2	A0A0F3H6S2_STRPA	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	dut TZ97_01596	Streptococcus parasanguinis	Lactobacillales
WP_002899178.1	A0A3R9HPR3	A0A3R9HPR3_STRSA	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	dut D8889_07845	Streptococcus sanguinis	Lactobacillales
WP_002899178.1	F0FH42	F0FH42_STRSA	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	dut HMPREF9388_2025	Streptococcus sanguinis SK353	Lactobacillales
WP_002687832.1	M2BU04	M2BU04_TREDN	DNA polymerase III subunit alpha (EC 2.7.7.7)	HMPREF9725_00794	Treponema denticola H1-T	Spirochaetales
WP_002676265.1	M2QRT0	M2QRT0_TREDN	DNA polymerase III subunit alpha (EC 2.7.7.7)	HMPREF9728_00041	Treponema denticola US-Trep	Spirochaetales
WP_002673405.1	A0A0E2EBR6	A0A0E2EBR6_TREDN	DNA polymerase III subunit alpha (EC 2.7.7.7)	HMPREF9730_01639	Treponema denticola AL-2	Spirochaetales
WP_002691806.1	A0A0F6MPZ6	A0A0F6MPZ6_TREDN	DNA polymerase III subunit alpha (EC 2.7.7.7)	HMPREF9723_01168	Treponema denticola OTK	Spirochaetales
WP_010694514.1	M2B8Q4	M2B8Q4_TREDN	DNA polymerase III subunit alpha (EC 2.7.7.7)	HMPREF9733_00922	Treponema denticola SP33	Spirochaetales
WP_010957315.1	Q73IZ1	Q73IZ1_TREDE	DNA polymerase III subunit alpha (EC 2.7.7.7)	dnaE TDE_2786	Treponema denticola (strain ATCC 35405 / CIP 103919 / DSM 14222)	Spirochaetales
WP_002680848.1	M2CV20	M2CV20_TREDN	DNA polymerase III subunit alpha (EC 2.7.7.7)	HMPREF9721_01427	Treponema denticola ATCC 35404	Spirochaetales
WP_044977893.1	A0A088RE89	A0A088RE89_9SPIO	DNA polymerase III subunit alpha (EC 2.7.7.7)	JO40_03300	Treponema putidum	Spirochaetales
WP_002684541.1	A0A0E2E467	A0A0E2E467_TREDN	DNA polymerase III subunit alpha (EC 2.7.7.7)	HMPREF9726_01432	Treponema denticola H-22	Spirochaetales
WP_020964690.1	S5ZTB4	S5ZTB4_9SPIO	DNA polymerase III subunit alpha (EC 2.7.7.7)	dnaE TPE_0894	Treponema pedis str. T A4	Spirochaetales
WP_010698227.1	S3LQL2	S3LQL2_TREDN	DNA polymerase III subunit alpha (EC 2.7.7.7)	HMPREF9731_01554	Treponema denticola SP23	Spirochaetales
WP_070663725.1	A0A1F1DQV7	A0A1F1DQV7_9ACTO	DNA polymerase III subunit alpha (EC 2.7.7.7)	HMPREF2891_02070	Actinomyces sp. HMSC065F11	Actinomycetales
WP_067069469.1	A0A132N358	A0A132N358_9ACTN	DNA polymerase III subunit alpha (EC 2.7.7.7)	TH66_07630	Streptomyces thermoautotrophicus	Streptomycetales
WP_066885792.1	A0A132MPN9	A0A132MPN9_9ACTN	DNA polymerase III subunit alpha (EC 2.7.7.7)	LI90_1466	Streptomyces thermoautotrophicus	Streptomycetales
WP_067392894.1	A0A170X2F7	A0A170X2F7_9ACTN	DNA polymerase III subunit alpha (EC 2.7.7.7)	STXM2123_2168	Streptomyces sp. F-3	Streptomycetales
WP_018382681.1	A0A0T6LVV4	A0A0T6LVV4_9ACTN	DNA polymerase III subunit alpha (EC 2.7.7.7)	AQ490_17205	Streptomyces vitaminophilus	Streptomycetales
WP_073899689.1	A0A1Q4WXQ0	A0A1Q4WXQ0_9PSEU	DNA polymerase III subunit alpha (EC 2.7.7.7)	A6A25_15435	Saccharothrix sp. CB00851	Pseudonocardiales
WP_057294790.1	A0A0Q9RZD9	A0A0Q9RZD9_9ACTN	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.3)	ASH02_05630	Nocardioides sp. Soil796	Propionibacteriales
WP_056891429.1	A0A0Q7ZRR7	A0A0Q7ZRR7_9ACTN	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.3)	ASD66_09920	Nocardioides sp. Root151	Propionibacteriales
WP_055967843.1	A0A0S9RBY3	A0A0S9RBY3_9ACTN	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.3)	ASF37_01350	Aeromicrobium sp. Leaf289	Propionibacteriales
WP_056679229.1	A0A0Q7QLW5	A0A0Q7QLW5_9ACTN	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.3)	ASD30_03660	Nocardioides sp. Root140	Propionibacteriales
WP_009374808.1	A0A165EAY7	A0A165EAY7_9MICO	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.3)	AVW13_01335	Brevibacterium casei	Micrococcales
WP_009374808.1	K9B619	K9B619_9MICO	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.3)	C272_00775	Brevibacterium casei S18	Micrococcales
WP_004632047.1	E5V1I8	E5V1I8_9BACL	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA HMPREF0432_00234	Gemella morbillorum M424	Bacillales
WP_003146012.1	F3A0D4	F3A0D4_9BACL	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA HMPREF0428_00192	Gemella haemolysans M341	Bacillales
WP_003145110.1	C5NYS8	C5NYS8_9BACL	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA GEMHA0001_0618	Gemella haemolysans ATCC 10379	Bacillales
WP_066128233.1	A0A133ZU49	A0A133ZU49_9BACL	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA HMPREF1871_00009	Gemella asaccharolytica	Bacillales
WP_002455336.1	A0A380H3K4	A0A380H3K4_STASA	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA NCTC7802_01309	Staphylococcus saprophyticus	Bacillales
WP_055951268.1	A0A0Q5JRA5	A0A0Q5JRA5_9MICO	Uncharacterized protein	ASF76_00235	Microbacterium sp. Leaf151	Micrococcales
WP_066333293.1	A0A179SZX1	A0A179SZX1_9BACI	Protein translocase subunit SecA	secA A6K24_23530	Bacillus litoralis	Bacillales
WP_004439722.1	G9QM41	G9QM41_9BACI	Protein translocase subunit SecA	secA HMPREF1015_02099	Bacillus smithii 7_3_47FAA	Bacillales
WP_034648353.1	A0A0B6AHV7	A0A0B6AHV7_BACMB	Protein translocase subunit SecA	secA BG04_2090	Bacillus megaterium (strain ATCC 14581 / DSM 32 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / VKM B-512)	Bacillales
WP_057239909.1	A0A0Q9FWU5	A0A0Q9FWU5_9BACI	Protein translocase subunit SecA	secA ASE51_20925	Bacillus sp. Root147	Bacillales
WP_053430283.1	A0A0M0KH57	A0A0M0KH57_9BACI	Protein translocase subunit SecA	secA AMD02_02010	Bacillus okuhidensis	Bacillales
WP_014457805.1	A0A0L1LT16	A0A0L1LT16_BACME	Protein translocase subunit SecA	secA ACS78_20910 C2I27_12280 NCTC6005_05464	Bacillus megaterium	Bacillales
WP_013059748.1	A0A0M0WST0	A0A0M0WST0_9BACI	Protein translocase subunit SecA	secA AMS61_22635	Bacillus sp. FJAT-21351	Bacillales
WP_013059748.1	A0A0Q6HXA0	A0A0Q6HXA0_9BACI	Protein translocase subunit SecA	secA ASG61_07840	Bacillus sp. Leaf75	Bacillales
WP_013059748.1	A0A0Q9GR61	A0A0Q9GR61_9BACI	Protein translocase subunit SecA	secA ASE46_17360	Bacillus sp. Root239	Bacillales
WP_013059748.1	A0A0Q9UDI5	A0A0Q9UDI5_9BACI	Protein translocase subunit SecA	secA ASG98_16010	Bacillus sp. Soil531	Bacillales
WP_013059748.1	A0A1S2CAK9	A0A1S2CAK9_9BACI	Protein translocase subunit SecA	secA BCV52_03755 COI42_18435	Bacillus aryabhattai	Bacillales
